ContextName	SamplesWithData	FeaturesWithData	Description
Deblur-Illumina-16S-V1-3-300nt-b91aa2	94	11941	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 300)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-4-5c6506	430	4296	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-90nt-efd9ba	942	7730	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V6-150nt-bd7d4d	221	7227	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Deblur-Illumina-16S-V4-200nt-05cde0	8546	142039	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 200)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V4-150nt-bd7d4d	7544	30847	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V34-5c6506	72	2221	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
Pick_closed-reference_OTUs-SILVA-LS454-16S-V4-150nt-96e6a9	6067	10792	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 150)
SHOGUN-wol-072020-TaxonomicPredictions-species-fe2f5b-a2cb78	300	3492	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-150nt-bd7d4d	263	5054	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V6-90nt-44feac	221	6572	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Deblur-Illumina-16S-V3-4-100nt-fbc5b2	464	9067	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V3-100nt-a243a1	11908	36166	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-SILVA-LS454-16S-V4-100nt-cb8fea	6067	9921	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 100)
Deblur-Illumina-16S-V6-8-150nt-780653	51	3906	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V3-90nt-44feac	11899	34392	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-100nt-a243a1	321	14922	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V5-V7-100nt-a243a1	84	4576	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V34-150nt-bd7d4d	72	2653	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V6-41ebc6	221	8193	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Deblur-Illumina-16S-V4-e40b83	1821	148168	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Split libraries FASTQ
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-150nt-96e6a9	1306	41654	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-41ebc6	100	14434	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Deblur-Illumina-16S-V3-150nt-780653	1193	65817	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Deblur-Illumina-16S-V4-250nt-3b87d8	2139	420173	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 250)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-250nt-66a626	1464	10448	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 250)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-5c6506	213290	84718	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
Deblur-Illumina-16S-V34-90nt-99d1d8	72	1961	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Deblur-Illumina-16S-V6-8-100nt-fbc5b2	51	2062	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V4-90nt-44feac	7505	27838	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-SILVA-LS454-16S-V3-100nt-cb8fea	3358	8501	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 100)
Woltka-wol-072020-Woltka-pergenome-200b91-a2cb78	300	6692	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: woltka_per_genome.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-Greengenes-FASTA-16S-V3-150nt-bd7d4d	18	1705	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Deblur-Illumina-16S-V4-100nt-fbc5b2	190651	6683374	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Deblur-Illumina-16S-V4-150nt-780653	155687	8660875	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Deblur-Illumina-16S-V3-90nt-99d1d8	1415	59096	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-58196d	209	2633	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Deblur (Reference phylogeny for SEPP: Greengenes_13.8)
Pick_closed-reference_OTUs-SILVA-LS454-16S-V3-150nt-96e6a9	3357	10563	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 150)
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-200nt-0f28b8	195	37198	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 200)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V4-100nt-a243a1	7493	29896	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
SHOGUN-wol-072020-TaxonomicPredictions-species-fe2f5b-677a58	10665	6870	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-SILVA-LS454-16S-V4-34e809	6007	12821	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Split libraries
Woltka-wol-072020-Woltka-pergenome-200b91	8665	9703	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: woltka_per_genome.biom) | Atropos v1.1.24
Deblur-Illumina-16S-V9-90nt-99d1d8	391	35817	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Woltka-wol-072020-Woltka-pergenome-200b91-677a58	10665	8717	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: woltka_per_genome.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-SILVA-LS454-16S-V4-90nt-efd9ba	6067	8982	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V6-8-100nt-a243a1	51	4586	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-ion_torrent-16S-V4-150nt-bd7d4d	174	5005	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-150nt-bd7d4d	156914	74047	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V5-V7-90nt-44feac	84	4246	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-90nt-44feac	181529	76972	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-100nt-a243a1	1135	16186	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-IonTorrent-16S-V3-41ebc6	32	1433	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-d1cf1d	20	5361	Pick closed-reference OTUs (reference-seq: |projects|qiita_test_data|reference|Greengenes_13_8_gg_13_8-97_otus.fasta) | Split libraries FASTQ
Deblur-Illumina-16S-V9-150nt-780653	319	266737	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Pick_closed-reference_OTUs-SILVA-LS454-16S-V3-90nt-efd9ba	3358	7991	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Trimming (length: 90)
Deblur-Illumina-16S-V4-125nt-3aae8b	26603	795246	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 125)
Deblur-Illumina-16S-V1-3-100nt-fbc5b2	94	7857	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-FASTA-16S-V3-100nt-a243a1	18	1706	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-IonTorrent-16S-V3-100nt-a243a1	32	1089	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Deblur-Illumina-16S-V3-4-150nt-780653	637	149396	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
Deblur-Illumina-16S-V3-V4-90nt-99d1d8	60	700	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V4-41ebc6	7385	27273	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Deblur-Illumina-16S-V6-8-90nt-99d1d8	51	1466	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V6-100nt-a243a1	221	7294	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Deblur-Illumina-16S-V3-4-90nt-99d1d8	241	71919	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
Deblur-Illumina-16S-V3-V4-150nt-780653	219	16246	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 150)
SHOGUN-rep200-TaxonomicPredictions-species-8fa379-4fa48d	300	5089	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|rep200, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V3-54d83f	138	1014	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Split libraries FASTQ
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-V4-150nt-bd7d4d	123	4779	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V3-150nt-bd7d4d	11665	35776	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V3-41ebc6	11760	35159	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Deblur-Illumina-16S-V4-90nt-99d1d8	230311	5812708	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
SHOGUN-wol-072020-TaxonomicPredictions-species-fe2f5b	8665	7972	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|wol, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Deblur-Illumina-16S-V9-100nt-fbc5b2	319	36485	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V4-125nt-65468f	27100	43261	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 125)
Pick_closed-reference_OTUs-SILVA-Illumina-16S-V4-54d83f	1758	42942	Pick closed-reference OTUs (reference-seq: |projects|qiita_data|reference|silva_119_Silva_119_rep_set97.fna) | Split libraries FASTQ
Deblur-Illumina-16S-V3-100nt-fbc5b2	1130	42073	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-ion_torrent-16S-V4-90nt-44feac	174	5376	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-LS454-16S-V5-V7-41ebc6	84	1697	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries
Pick_closed-reference_OTUs-Greengenes-FASTA-16S-V3-5c6506	18	1741	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
Pick_closed-reference_OTUs-Greengenes-IonTorrent-16S-V3-90nt-44feac	32	1065	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-150nt-bd7d4d	1156	6942	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V9-90nt-44feac	321	11964	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-4-100nt-a243a1	430	10198	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 100)
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-90nt-44feac	1135	14850	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 90)
Deblur-Illumina-16S-V3-e40b83	138	7273	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Split libraries FASTQ
Pick_closed-reference_OTUs-Greengenes-Illumina-16S-V3-5c6506	1366	18170	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Split libraries FASTQ
SHOGUN-rep200-TaxonomicPredictions-species-8fa379-25348d	10664	11233	Shogun v1.0.8 (Aligner tool: bowtie2,Database: |opt|genome|qiita_dbs|shogun|072020|rep200, BIOM: otu_table.redist.species.biom) | Atropos v1.1.24
Pick_closed-reference_OTUs-Greengenes-IonTorrent-16S-V3-150nt-bd7d4d	32	1008	Pick closed-reference OTUs (reference-seq: |databases|gg|13_8|rep_set|97_otus.fasta) | Trimming (length: 150)
Deblur-Illumina-16S-V1-3-90nt-99d1d8	94	7803	Deblur (Reference phylogeny for SEPP: Greengenes_13.8, BIOM: reference-hit.biom) | Trimming (length: 90)
