sample_name	abundance_gbr	abundance_world	algal_contact_types	anonymized_name	binary_algal_contact	binary_cca_contact	binary_disease	binary_macroalgal_contact	binary_tissue_loss	binary_turf_contact	biological_sample_notes	biologicalmatter	calcifies	cca_contact_percent	cca_overgrown	collected_by	collection_id	collection_time	collection_timestamp	coloniality	colony_height_m	colony_maximum_diameter	colony_maximum_diameter_2	colony_maximum_diameter_unit	colony_maximum_diameter_universal	colony_maximum_gcmp_recorded	colony_name	colony_width1	colony_width2	common_name	compartment_replicates	compartment_separation_notes	complex_robust	concatenated_date	contact_description	coral_color	coral_color_additional	coral_contact_types	corallite_type	corallite_width_maximum	corallite_width_maximum_unit	corallite_width_minimum	corallite_width_minimum_unit	country	cyanobacteria_contact	cyanobacteria_overgrown	cyanobacteria_percent	daily_replicate	date	depth	depth_lower	depth_lower_unit	depth_method	depth_upper	depth_upper_unit	description	disease_name	disease_percent	dna_extracted	dominant_cover_2m	eastern_most_range_edge	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	expedition_number	family	field_host_genus_id	field_host_name	field_host_species_id	full_location	full_taxonomy_string_with_clade	functional_group_sensu_darling	genus_fossil_age	genus_fossil_age_unit	geo_loc_name	geographic_area	growth_form_typical	growth_outline_type	hemisphere	host_clade_sensu_fukami	host_clade_sensu_fukami_numeric	host_common_name	host_genus	host_genus_id	host_name	host_scientific_name	host_species	host_species_id	host_subject_id	host_taxid	huang_roy_tree_name	invertebrate_contact_types	iucn_red_list_category	latitude	local_colony_name	local_sample_id	longitude	macroalgal_contact_types	mode_of_larval_development	n_algal_contacts	n_macroalgal_contacts	ncbi_inherited_blast_name	northern_most_range_edge	ocean	ocean_area	ocean_superregion	oocyte_size_at_maturity	oocyte_size_at_maturity_unit	orig_sample_name	outgroup	oxygen	oz_disease_mean	oz_disease_sd	par_method	parrotfish_bites	pcrtubeno	photosynthetically_active_radiation	physical_specimen_location	physical_specimen_remaining	political_area	prop_colony_maximum_diameter	prop_colony_maximum_diameter_universal	prop_colony_maximum_gcmp_recorded	propagule_size_on_release_max	propagule_size_on_release_max_unit	propagule_size_on_release_mean	propagule_size_on_release_mean_unit	qiita_study_id	range_size	range_size_unit	reef_name	reef_type	relevant_collaborators	salinity	sample_type	sample_type_gcmp	sampling_expedition	scientific_name	seagrass_contact	sediment_contact	sexual_system	shelf_location	site_name	skeletal_band_color	skeletal_density	skeletal_density_unit	southern_most_range_edge	species_age_phylogeny	species_age_phylogeny_unit	species_notes	substrate	substrate_attachment	surface_temperature	symbio_its2_sequenced	symbiodinium_sp__in_propagules	synonyms	taxon_id	taxonomy_string_to_clade	taxonomy_string_to_class	taxonomy_string_to_family	taxonomy_string_to_order	taxonomy_string_to_subclass	temperature	tissue_compartment	tissue_loss_percent	title	turf_contact_percent	turf_overgrown	visibility	visibility_method	water_clarity_preference	wave_exposure_preference	western_most_range_edge	zooxanthellate
10895.E4.15.Dip.heli.1.20150309.M	common	uncommon	None	850	n	y	n	n	n	n	None	Coral Mucus	y	30	None	Ryan McMinds, Jesse Zaneveld	Malathy Island_20150309	15:30	3/9/15 15:30	colonial	20	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.1.20150309	65	50	Not collected	1	None	robust	20150309	perimeter_contact_estimated	D6	C4	None	plocoid	9	mm	7	mm	Saudi Arabia	n	None	0	1	3/9/15	10.36	30	m	measured	0	m	Coral Mucus from Diploastrea heliopora sampled from Farasan Banks, Saudi Arabia as sample E4.15.Dip.heli.1.20150309.M of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal secretion	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;SW;Farasan Banks;Malathy Island	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	SW	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.1.20150309	214969	FAV_Diploastrea_heliopora	Xenia_octocorals_and_millepora	NT	19.74915	A2	A2_mucus	39.90357	None	spawner	0	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	850	n	Not collected	0	0	PAR meter pointed upwards near coral	n	850	2000	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Malathy Island	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Mucus	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	offshore	Farasan Banks	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock_rubble	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	27.2	M	0	GCMP	0	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.1.20150309.S	common	uncommon	None	849	n	y	n	n	n	n	None	Coral Skeleton	y	30	None	Ryan McMinds, Jesse Zaneveld	Malathy Island_20150309	15:30	3/9/15 15:30	colonial	20	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.1.20150309	65	50	Not collected	1	None	robust	20150309	perimeter_contact_estimated	D6	C4	None	plocoid	9	mm	7	mm	Saudi Arabia	n	None	0	1	3/9/15	10.36	30	m	measured	0	m	Coral Skeleton from Diploastrea heliopora sampled from Farasan Banks, Saudi Arabia as sample E4.15.Dip.heli.1.20150309.S of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;SW;Farasan Banks;Malathy Island	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	SW	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.1.20150309.S	214969	FAV_Diploastrea_heliopora	Xenia_octocorals_and_millepora	NT	19.74915	A2	A2_skeleton	39.90357	None	spawner	0	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	849	n	Not collected	0	0	PAR meter pointed upwards near coral	n	849	2000	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Malathy Island	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Skeleton	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	offshore	Farasan Banks	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock_rubble	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	27.2	S	0	GCMP	0	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.1.20150309.T	common	uncommon	None	848	n	y	n	n	n	n	None	Coral Tissue	y	30	None	Ryan McMinds, Jesse Zaneveld	Malathy Island_20150309	15:30	3/9/15 15:30	colonial	20	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.1.20150309	65	50	Not collected	1	None	robust	20150309	perimeter_contact_estimated	D6	C4	None	plocoid	9	mm	7	mm	Saudi Arabia	n	None	0	1	3/9/15	10.36	30	m	measured	0	m	Coral Tissue from Diploastrea heliopora sampled from Farasan Banks, Saudi Arabia as sample E4.15.Dip.heli.1.20150309.T of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;SW;Farasan Banks;Malathy Island	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	SW	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.1.20150309.T	214969	FAV_Diploastrea_heliopora	Xenia_octocorals_and_millepora	NT	19.74915	A2	A2_tissue	39.90357	None	spawner	0	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	848	n	Not collected	0	0	PAR meter pointed upwards near coral	n	848	2000	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Malathy Island	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Tissue	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	offshore	Farasan Banks	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock_rubble	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	27.2	T	0	GCMP	0	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.1.20150325.M	common	uncommon	None	1014	n	n	n	n	n	n	None	Coral Mucus	y	0	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150325	9:13	3/25/15 9:13	colonial	200	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.1.20150325	100	50	Not collected	1	None	robust	20150325	None	Not collected	None	None	plocoid	9	mm	7	mm	Saudi Arabia	n	None	0	1	3/25/15	8.53	30	m	measured	0	m	Coral Mucus from Diploastrea heliopora sampled from KAUST House Reefs, Saudi Arabia as sample E4.15.Dip.heli.1.20150325.M of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal secretion	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	W	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.1.20150325	214969	FAV_Diploastrea_heliopora	None	NT	22.25836	Diploastrea	Diploastrea_mucus	38.95542	None	spawner	0	None	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	1014	n	Not collected	0	0	PAR meter pointed upwards near coral	n	1014	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Mucus	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	26.1	M	0	GCMP	0	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.1.20150325.TS	common	uncommon	None	995	n	n	n	n	n	n	None	Whole Coral	y	0	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150325	9:13	3/25/15 9:13	colonial	200	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.1.20150325	100	50	Not collected	1	None	robust	20150325	None	Not collected	None	None	plocoid	9	mm	7	mm	Saudi Arabia	n	None	0	1	3/25/15	8.53	30	m	measured	0	m	Whole Coral from Diploastrea heliopora sampled from KAUST House Reefs, Saudi Arabia as sample E4.15.Dip.heli.1.20150325.TS of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	W	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.1.20150325.TS	214969	FAV_Diploastrea_heliopora	None	NT	22.25836	Diploastrea	Diploastrea_tissue_skeleton	38.95542	None	spawner	0	None	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	995	n	Not collected	0	0	PAR meter pointed upwards near coral	n	995	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Whole Coral	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	26.1	TS	0	GCMP	0	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.2.20150325.M	common	uncommon	turf__cyanobacteria	993	y	y	n	n	n	y	None	Coral Mucus	y	2	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150325	11:26	3/25/15 11:26	colonial	15	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.2.20150325	35	40	Not collected	1	None	robust	20150325	edges_of_colony_green_under_and_through_tissue	Not collected	None	None	plocoid	9	mm	7	mm	Saudi Arabia	y	None	2	2	3/25/15	14.94	30	m	measured	0	m	Coral Mucus from Diploastrea heliopora sampled from KAUST House Reefs, Saudi Arabia as sample E4.15.Dip.heli.2.20150325.M of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal secretion	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	W	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.2.20150325	214969	FAV_Diploastrea_heliopora	Xenia_octocorals__sinularia__other_octocoral	NT	22.25836	Diploastrea 2	Diploastrea 2_mucus	38.95542	None	spawner	2	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	993	n	Not collected	0	0	PAR meter pointed upwards near coral	n	993	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Mucus	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	26.1	M	0	GCMP	2	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.2.20150325.S	common	uncommon	turf__cyanobacteria	973	y	y	n	n	n	y	None	Coral Skeleton	y	2	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150325	11:26	3/25/15 11:26	colonial	15	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.2.20150325	35	40	Not collected	1	None	robust	20150325	edges_of_colony_green_under_and_through_tissue	Not collected	None	None	plocoid	9	mm	7	mm	Saudi Arabia	y	None	2	2	3/25/15	14.94	30	m	measured	0	m	Coral Skeleton from Diploastrea heliopora sampled from KAUST House Reefs, Saudi Arabia as sample E4.15.Dip.heli.2.20150325.S of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	W	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.2.20150325.S	214969	FAV_Diploastrea_heliopora	Xenia_octocorals__sinularia__other_octocoral	NT	22.25836	Diploastrea 2	Diploastrea 2_skeleton	38.95542	None	spawner	2	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	973	n	Not collected	0	0	PAR meter pointed upwards near coral	n	973	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Skeleton	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	26.1	S	0	GCMP	2	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.15.Dip.heli.2.20150325.T	common	uncommon	turf__cyanobacteria	1016	y	y	n	n	n	y	None	Coral Tissue	y	2	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150325	11:26	3/25/15 11:26	colonial	15	500	Not collected	cm	Not collected	Not collected	E4.15.Dip.heli.2.20150325	35	40	Not collected	1	None	robust	20150325	edges_of_colony_green_under_and_through_tissue	Not collected	None	None	plocoid	9	mm	7	mm	Saudi Arabia	y	None	2	2	3/25/15	14.94	30	m	measured	0	m	Coral Tissue from Diploastrea heliopora sampled from KAUST House Reefs, Saudi Arabia as sample E4.15.Dip.heli.2.20150325.T of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-167.1916889	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Diploastreidae	Diploastrea	Diploastrea heliopora	heliopora	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XV_Diploastrea_heliopora	Stress-tolerant	99.6	mya	Saudi Arabia	W	massive	Not collected	Northern	XV	15	stony corals	Diploastrea	Diploastrea	Diploastrea heliopora	Diploastrea heliopora	heliopora	heliopora	E4.15.Dip.heli.2.20150325.T	214969	FAV_Diploastrea_heliopora	Xenia_octocorals__sinularia__other_octocoral	NT	22.25836	Diploastrea 2	Diploastrea 2_tissue	38.95542	None	spawner	2	0	stony corals	30.8119151	Indian	Red Sea	Indo-Pacific	290	um	1016	n	Not collected	0	0	PAR meter pointed upwards near coral	n	1016	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	70449346.41	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Tissue	E4_KAUST_2015	coral reef metagenome	n	Not collected	gonochore	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-30.63689894	64.52281751	mya	None	rock	attached	Not collected	n	no	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XV	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Diploastreidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	26.1	T	0	GCMP	2	None	Not collected	None	clear	broad	31.7583974	zooxanthellate
10895.E4.17.Ech.lame.1.20150305.M	common	common	None	824	n	n	n	n	y	n	None	Coral Mucus	y	0	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150305	12:05	3/5/15 12:05	colonial	0.5	500	Not collected	cm	Not collected	Not collected	E4.17.Ech.lame.1.20150305	100	60	hedgehog coral	1	None	robust	20150305	None	C3	None	None	plocoid	3.4	mm	2.3	mm	Saudi Arabia	n	None	0	1	3/5/15	8	Not collected	Not collected	measured	Not collected	Not collected	Coral Mucus from Echinopora lamellosa sampled from KAUST House Reefs, Saudi Arabia as sample E4.17.Ech.lame.1.20150305.M of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-135.4445201	0	Host-asssociated	Animal	Animal secretion	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Merulinidae	Echinopora	Echinopora lamellosa	lamellosa	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XVII_Echinopora_lamellosa	Not collected	15.97	mya	Saudi Arabia	W	laminar	Not collected	Northern	XVII	17	stony corals	Echinopora	Echinopora	Echinopora lamellosa	Echinopora lamellosa	lamellosa	lamellosa	E4.17.Ech.lame.1.20150305	46694	FAV_Echinopora_lamellosa	Xenia_octocorals_and_stylaster	LC	22.25836	B1	B1_mucus	38.95542	None	spawner	0	0	stony corals	37.18735618	Indian	Red Sea	Indo-Pacific	261	um	824	n	Not collected	0.291126819	0.143241468	PAR meter pointed upwards near coral	n	824	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	96946483.9	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Mucus	E4_KAUST_2015	coral reef metagenome	n	Not collected	hermaphrodite	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-33.18767911	0.694108476	mya	None	rock	attached	Not collected	n	Not collected	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XVII	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Merulinidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	25	M	5	GCMP	0	None	Not collected	None	clear	broad	29.3143945	zooxanthellate
10895.E4.17.Ech.lame.1.20150305.S	common	common	None	821	n	n	n	n	y	n	None	Coral Skeleton	y	0	None	Ryan McMinds, Jesse Zaneveld	Al Fahal_20150305	12:05	3/5/15 12:05	colonial	0.5	500	Not collected	cm	Not collected	Not collected	E4.17.Ech.lame.1.20150305	100	60	hedgehog coral	1	None	robust	20150305	None	C3	None	None	plocoid	3.4	mm	2.3	mm	Saudi Arabia	n	None	0	1	3/5/15	8	Not collected	Not collected	measured	Not collected	Not collected	Coral Skeleton from Echinopora lamellosa sampled from KAUST House Reefs, Saudi Arabia as sample E4.17.Ech.lame.1.20150305.S of the Global Coral Microbiome Project	None	0	TRUE	Not collected	-135.4445201	0	Host-asssociated	Animal	Animal corpus	marine coral reef biome	animal-associated habitat	organic material	host-associated	E4	Merulinidae	Echinopora	Echinopora lamellosa	lamellosa	Indo-Pacific;Indian;Red Sea;Saudi Arabia;W;KAUST House Reefs;Al Fahal	Cnidaria_Anthozoa_Scleractinia_XVII_Echinopora_lamellosa	Not collected	15.97	mya	Saudi Arabia	W	laminar	Not collected	Northern	XVII	17	stony corals	Echinopora	Echinopora	Echinopora lamellosa	Echinopora lamellosa	lamellosa	lamellosa	E4.17.Ech.lame.1.20150305.S	46694	FAV_Echinopora_lamellosa	Xenia_octocorals_and_stylaster	LC	22.25836	B1	B1_skeleton	38.95542	None	spawner	0	0	stony corals	37.18735618	Indian	Red Sea	Indo-Pacific	261	um	821	n	Not collected	0.291126819	0.143241468	PAR meter pointed upwards near coral	n	821	Not collected	Voolstra Lab, KAUST, Saudi Arabia	FALSE	Saudi Arabia	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	Not collected	10895	96946483.9	km^2	Al Fahal	Not collected	Chris Voolstra, Maren Ziegler, Anna Roik, and many others at KAUST	Not collected	coral	Coral Skeleton	E4_KAUST_2015	coral reef metagenome	n	Not collected	hermaphrodite	midshelf	KAUST House Reefs	Not collected	Not collected	Not collected	-33.18767911	0.694108476	mya	None	rock	attached	Not collected	n	Not collected	Not collected	471232	Cnidaria_Anthozoa_Scleractinia_XVII	Cnidaria_Anthozoa	Cnidaria_Anthozoa_Scleractinia_Merulinidae	Cnidaria_Anthozoa_Scleractinia	Cnidaria_Anthozoa_Hexacorallia	25	S	5	GCMP	0	None	Not collected	None	clear	broad	29.3143945	zooxanthellate
